round,timestamp,hit_rate,miss_rate,latency_mean,latency_p95,latency_p99,hop_latency_mean,bandwidth_total_bytes,avg_cache_utilization,redundancy_mean
40,1763785688.766794,71.71507281422123,28.284927185778763,1.605027224411151,4.917834401130676,11.185358715057646,3.326028358029279,409826531,60.866236559139786,35.06943521594685
1,1763785720.433524,71.93665212865709,28.063347871342913,1.6278144070455822,5.084401106834407,11.064771070480365,3.323688353247826,416245702,60.67709677419355,35.129235880398674
2,1763785724.44129,71.92986677299163,28.07013322700837,1.6274680076698766,5.080539488792419,11.058852577209471,3.3241530666959975,416858866,60.67709677419355,35.14152823920266
3,1763785729.0770519,71.92855364913696,28.071446350863038,1.6271784477489604,5.075612163543696,11.050328526496887,3.3244148420266595,417408965,60.67709677419355,35.144138160079706
4,1763785734.63995,71.92874471714774,28.07125528285227,1.6270456261498338,5.072348856925959,11.047133011817927,3.3245544401676796,418015661,60.67709677419355,35.138068370394954
5,1763785738.792465,71.93381443793305,28.06618556206695,1.626691323963409,5.07049171924591,11.039135708809093,3.324425363140355,418537081,60.67709677419355,35.14902090939263
6,1763785742.497216,71.94189353990672,28.058106460093285,1.6261725637929312,5.067311525344849,11.029062032699585,3.3243182685054844,419150135,60.67709677419355,35.16163292399602
7,1763785746.363456,71.95271326437351,28.047286735626493,1.6257296883060903,5.065019607543941,11.024947032928464,3.324076430944795,419789747,60.67709677419355,35.16191108161911
8,1763785750.1454122,71.96639441180837,28.033605588191634,1.6251447023510992,5.061894083023072,11.007675065994167,3.323684125215623,420195060,60.67709677419355,35.16119402985075
9,1763785754.0493991,71.97756787659947,28.022432123400538,1.6246975140668962,5.057565212249749,11.000749492645278,3.3233453241700848,420645617,60.67709677419355,35.16611405835544
10,1763785758.860428,71.98908774055643,28.010912259443565,1.6245013925564034,5.054363548755646,10.984663295745905,3.3229548873715955,421248163,60.67709677419355,35.18202917771883
11,1763785762.5671139,72.00501048666986,27.994989513330136,1.6239591561893303,5.051250696182251,10.975192642211859,3.322515237114313,421811327,60.67709677419355,35.190649867374006
12,1763785766.591219,72.02126449755666,27.978735502443346,1.6229887170244222,5.047813177108765,10.963129878044128,3.3220379834711307,422391867,60.67709677419355,35.19191249585681
13,1763785769.91958,72.03655865861182,27.963441341388172,1.622132889254821,5.043693363666534,10.951751065254191,3.3215375383926937,422938760,60.67709677419355,35.20053032814054
14,1763785773.603795,72.05083543652427,27.949164563475744,1.6214695976845068,5.0374289512634265,10.942619600295997,3.321052729577889,423485662,60.67709677419355,35.195760185491885
15,1763785777.7623308,72.06712126385682,27.93287873614318,1.6209215309187281,5.0341527462005615,10.933451509475729,3.320450450145879,423946494,60.67709677419355,35.1783587028458
16,1763785781.939444,72.08685993632702,27.91314006367298,1.6204656175654923,5.031641209125517,10.920242452621453,3.319718704528344,424460318,60.67709677419355,35.187624090006615
17,1763785786.072551,72.1053758329414,27.89462416705859,1.619756888647493,5.0282097339630125,10.912128257751409,3.3191516261005445,424980439,60.67709677419355,35.20019854401059
18,1763785790.512516,72.12528069649765,27.874719303502353,1.6195325942612586,5.023829579353333,10.908117129802726,3.3183931535304634,425405600,60.67709677419355,35.20211710221634
19,1763785794.086706,72.14681335675444,27.853186643245557,1.618664262478341,5.02001037597656,10.903061227798366,3.3175565846647785,425865001,60.67709677419355,35.184071381361534
20,1763785797.872897,72.16771174606585,27.832288253934152,1.6179731169576368,5.013889026641862,10.87424349069634,3.316868857081476,426429181,60.67709677419355,35.185662371985465
21,1763785801.461146,72.18716743340289,27.812832566597116,1.6171031554705821,5.007723617553711,10.860247678756789,3.316141682797456,427050055,60.67709677419355,35.17926708484649
22,1763785804.912481,72.20764529883064,27.79235470116935,1.6161851911456422,5.003983318805695,10.848711967468317,3.3154187779034667,427562317,60.67709677419355,35.18415841584159
23,1763785808.805092,72.22778257694871,27.77221742305128,1.6154588922624866,4.999333024024964,10.837918825149613,3.3147307442316656,428038075,60.67709677419355,35.18508742989113
24,1763785812.309727,72.2496116814236,27.75038831857639,1.6145106825606967,4.995559692382809,10.831410536766041,3.313906559956221,428617644,60.67709677419355,35.16611733684904
25,1763785816.257618,72.27527982261937,27.724720177380636,1.6134145241416498,4.990880966186523,10.823514914512586,3.3129632128417716,429078704,60.67709677419355,35.172322899505765
26,1763785819.907685,72.29966200031936,27.70033799968063,1.6127759960259982,4.98760914802551,10.812669527530725,3.31202094533454,429505798,60.67709677419355,35.17588932806324
27,1763785823.108692,72.32485991118021,27.6751400888198,1.6116445021360568,4.98293617963791,10.80521962165829,3.3110785593521537,430069423,60.67709677419355,35.196969696969695
28,1763785827.292041,72.35168384868328,27.648316151316717,1.6111899721191987,4.979724121093751,10.798400678634598,3.3100540085199808,430650305,60.67709677419355,35.21113306982872
29,1763785832.457427,72.38001261587316,27.619987384126848,1.6110241309341389,4.977302074432373,10.791841983795166,3.309052468456178,431066223,60.67709677419355,35.18953603158934
30,1763785837.1057549,72.4039262619183,27.5960737380817,1.610810751975687,4.974411451816554,10.786677358150481,3.308194699744773,431444543,60.67709677419355,35.19440789473684
31,1763785842.135896,72.42974071696077,27.570259283039235,1.6102582238467125,4.972249484062197,10.779988079071058,3.307209715727813,431948673,60.67709677419355,35.19730351857942
32,1763785846.846116,72.4557144764099,27.544285523590105,1.610019360945485,4.970444917678833,10.770204782485962,3.306222303522901,432463051,60.67709677419355,35.2008547008547
33,1763785853.248557,72.4836113049087,27.516388695091287,1.6108410524892307,4.9679131507873535,10.76231645345688,3.305160464412179,433013161,60.67709677419355,35.214003944773175
34,1763785858.069691,72.50937240225923,27.49062759774077,1.6106317697137928,4.965162515640256,10.758429055213897,3.304224398802698,433451399,60.67709677419355,35.219191587249426
35,1763785863.286001,72.53500334614931,27.464996653850697,1.610391908353522,4.961470663547516,10.750007331371298,3.3031348826223312,433929380,60.67709677419355,35.22109067017083
36,1763785867.458176,72.56460939585445,27.43539060414555,1.6098494455863406,4.958773970603943,10.739992022514256,3.3019368489316787,434472022,60.67709677419355,35.22167487684729
37,1763785871.2138822,72.59172905654084,27.40827094345916,1.6090287943736987,4.955612659454346,10.733288478851323,3.3009445546270424,434969752,60.67709677419355,35.20603674540683
38,1763785877.044014,72.62011449503186,27.379885504968144,1.6090931520968248,4.9530876159667985,10.722551045417779,3.2998761024676666,435535918,60.67709677419355,35.209576910462445
39,1763785880.4631329,72.6499041708497,27.350095829150316,1.6080232178872378,4.94940226078032,10.706139228343952,3.2987115216626033,435958372,60.67709677419355,35.19960668633235
40,1763785884.6300302,72.67547056832679,27.324529431673216,1.6073660425579368,4.9450132846832275,10.697830080986023,3.2977109421780217,436501932,60.67709677419355,35.19194235178513
1,1763785913.005763,72.89992765700116,27.10007234299885,1.59451806899337,4.897917318344108,10.614500088691452,3.295363150625823,443151346,60.244193548387095,35.20543016028786
2,1763785918.0173671,72.89526733606176,27.104732663938236,1.5946899827598842,4.894383370876312,10.598118090629585,3.2957330068616737,443693182,60.244193548387095,35.20503597122302
3,1763785921.997105,72.89760767082063,27.10239232917937,1.5944083657592432,4.891250658035262,10.593042421340922,3.2958260298861064,444386227,60.244193548387095,35.21451929365598
4,1763785926.153856,72.89893123716813,27.101068762831872,1.5941837680310915,4.8891521692276,10.583706402778686,3.2958573447863433,444920445,60.244193548387095,35.205555555555556
5,1763785930.355092,72.90356276933201,27.09643723066799,1.5939126245174495,4.885681688785553,10.57514526844028,3.295786840785451,445416840,60.244193548387095,35.20483502123489
6,1763785934.163462,72.9080379080379,27.091962091962092,1.5934381581888784,4.882681512832634,10.565054571628533,3.2957082229809505,445985710,60.244193548387095,35.21594250245018
7,1763785938.0306518,72.91723773036443,27.082762269635563,1.5930227706690578,4.877653312683105,10.536250073909763,3.2955645084177445,446567128,60.244193548387095,35.180750407830345
8,1763785941.7368069,72.92650586491825,27.073494135081745,1.5924808896134208,4.871853542327879,10.52538637161254,3.295332738007122,447105263,60.244193548387095,35.19151712887439
9,1763785946.0912251,72.93524159597065,27.064758404029355,1.5922293642214866,4.866368925571441,10.516548345089015,3.2950345318799843,447616180,60.244193548387095,35.19341161121983
10,1763785949.920116,72.94569002615377,27.054309973846223,1.5918330219441992,4.863166761398313,10.50928520202638,3.2948040213612986,448119662,60.244193548387095,35.19563090968373
11,1763785954.283297,72.95983582899065,27.04016417100935,1.591920233188062,4.859472322463987,10.499732880592365,3.2944389290823106,448706415,60.244193548387095,35.19719687092569
12,1763785957.910511,72.97417158858906,27.02582841141094,1.5912865663152576,4.856351494789121,10.492519927024865,3.2940149740480456,449243332,60.244193548387095,35.18990228013029
13,1763785961.654154,72.98853392764781,27.011466072352196,1.590716038313914,4.853902864456178,10.485714168548585,3.2935498004628188,449724049,60.244193548387095,35.20488599348534
14,1763785965.400927,73.00274698802794,26.997253011972067,1.5901574577318063,4.850554990768426,10.47825176239012,3.2931205246920894,450266572,60.244193548387095,35.20677303809834
15,1763785970.023093,73.02107654445636,26.978923455543637,1.5897892249971788,4.849044334888454,10.471198523044581,3.2925285543004987,450850327,60.244193548387095,35.21719309671117
16,1763785974.271886,73.03858629810685,26.96141370189316,1.5891782666289955,4.844322276115412,10.467625489234944,3.291884006370922,451352122,60.244193548387095,35.2282644089873
17,1763785977.810681,73.05527804218028,26.944721957819716,1.5884747976271036,4.841262149810775,10.4478569793701,3.291253215440407,451945073,60.244193548387095,35.230794270833336
18,1763785982.0186691,73.06985886193986,26.930141138060144,1.5880828919272876,4.836185932159421,10.427227849960316,3.290642592176524,452384464,60.244193548387095,35.234298730881875
19,1763785985.601742,73.08885342973204,26.91114657026797,1.5872975857469611,4.8312951087951665,10.415609674453648,3.2899523497967373,453023759,60.244193548387095,35.247966156849984
20,1763785988.9211562,73.10766772161816,26.892332278381854,1.5862836059596699,4.826484405994408,10.400722687244482,3.2891705574530756,453417747,60.244193548387095,35.25837943377807
21,1763785992.364768,73.12387347919692,26.876126520803084,1.5853891303792729,4.823801219463348,10.375066983699806,3.288566126771141,454043896,60.244193548387095,35.262199089134675
22,1763785996.282937,73.14246964467354,26.85753035532646,1.584721476790351,4.820274877548222,10.36532538414001,3.2878345882753677,454478741,60.244193548387095,35.277488614183476
23,1763786001.773678,73.16196375494411,26.838036245055896,1.5842598517226782,4.814787435531614,10.356942286491387,3.287089551656616,454988185,60.244193548387095,35.28887443070917
24,1763786005.626412,73.18410425157985,26.81589574842015,1.5832134957964583,4.810394251346588,10.351133818626403,3.2862306647222326,455525504,60.244193548387095,35.298308392973325
25,1763786009.06378,73.20439496153942,26.79560503846058,1.582312689546462,4.805776417255402,10.34650820493702,3.28550913594384,456148545,60.244193548387095,35.31132075471698
